Designator(s),Type,MPN,Manufacturer,Description,Quantity,Unit,AWG,Color,Positions,Length (in),Terminals,Signal
CtrlRelay,connector,89531-60010,Toyota,"",1,ea,,,10,,,
X3,connector,90980-12326,Sumitomo,"",1,ea,,,13,,,
X5; X6,connector,90980-12520,Sumitomo,"",2,ea,,,8,,,
X1,connector,13669859,Aptiv,"",1,ea,,,56,,,
J1,connector,33511394,Aptiv,"",1,ea,,,56,,,
X2,connector,HX040-6P,Sumitomo,"",1,ea,,,6,,,
X4,connector,LS600HL,Lexus,"",1,ea,,,40,,,
Bat+; BatCtrl; BMS-F; BMS-R; Caliper; CAN1; CAN2; CanHI; CanLO; CDL Motor; Chassis; DCDC-F; DCDC-R; EC1; F11; F12; F13; F14; F15; F16; F17; F18; F19; F20; F21; F22; F23; F24; F25; FrontDtsch12-F; FrontDtsch12-M; Gnd; GndCtrl; GrnLed; HV Bat Front; HV Bat Rear; HV- Contactor; HV+ Contactor; IGN+; InDtsch12-F; Inverter HV; K11; K12; K13; K14; K15; K16; K17; K18; K19; K20; Neg Fuse; OilPump; PBCtrl; PkBrk; Pos Fuse; Precharge Relay; Precharge Resistor; RearDtsch12-F; RearDtsch12-M; RedLed; RT32; RT33; RT35; RT38; SENSE; Term; X7; X8; X46; X47; X48; X49; X50; X51; X52; X53; X54; X55; X57; X58; X59; X60; X61; X62; X63; X64; X65; X66; X67; X68; X69; X70; X71; X72; X73; X74; X75; X76; X77; X81; X82; X83; X84; X85; X86; X87; X88; X93; X95; X96; X97; X98; X99; X100; X101; X102; X103; X104,connector,Unassigned,,"",119,ea,,,7,,,
X2.1_X1.45,wire,Unassigned,,"",1,ea,20 AWG,YEBU,,,,"X2.1_X1.45"
J1.46_X2.2,wire,Unassigned,,"",1,ea,20 AWG,BNBU,,,,"J1.46_X2.2"
X2.5_X1.47,wire,Unassigned,,"",1,ea,20 AWG,WHBU,,,,"X2.5_X1.47"
J1.48_X2.3,wire,Unassigned,,"",1,ea,20 AWG,WHGN,,,,"J1.48_X2.3"
