Designator(s),Type,MPN,Manufacturer,Description,Quantity,Unit,AWG,Color,Positions,Length (in),Terminals,Signal
CtrlRelay,connector,89531-60010,Toyota,"",1,ea,,,10,,,
X3,connector,90980-12326,Sumitomo,"",1,ea,,,13,,,
MG1R; MG2R,connector,90980-12520,Sumitomo,"",2,ea,,,8,,,
X1,connector,13669859,Aptiv,"",1,ea,,,56,,,
J1,connector,33511394,Aptiv,"",1,ea,,,56,,,
Dilong_AC,connector,HS25BCS,SWS,"",1,ea,,,3,,,
X2,connector,HX040-6P,Sumitomo,"",1,ea,,,6,,,
Inverter,connector,LS600HL,Lexus,"",1,ea,,,40,,,
Dilong_HV,connector,MCP 6.3/4.8K, CONTACT, SWS 1241418-4,Amp,"",1,ea,,,2,,,
Bat+; BatCtrl; BMS-F; BMS-R; Caliper; CAN; CanHI; CanLO; CDLLED; CDLSw; Chassis; DashDisplay; DCDC-F; DCDC-R; Dimmer; EB2; EC1; F11; F12; F13; F14; F15; F16; F17; F18; F19; F20; F20; F21; F23; FrontBat+; FrontDtsch12-F; FrontDtsch12-M; Gnd; GndCtrl; GrnLed; HV Bat Front; HV Bat Rear; HV DiscFrontF; HV DiscFrontM; HV DiscRearF; HV DiscRearM; HV- Contactor; HV+ Contactor; IGN+; InDtsch12-F; InDtsch12-M; Inverter HV; K11; K12; K13; K14; K15; K16; K17; K18; K19; K20; MgRideL; MgRideR; Neg Fuse; OilPump; PBCtrl; PkBrk; Pos Fuse; Precharge Relay; Precharge Resistor; PRNDL; Pumps; PWR; RearDtsch12-F; RearDtsch12-M; RedLed; RT32; RT33; RT35; RT38; Sense1; Sense2; Sense3; ShiftConn; Term; X46; X47; X48; X49; X50; X51; X52; X53; X54; X55; X57; X58; X59; X61; X62; X63; X64; X65; X67; X71; X72; X73; X74; X75; X76; X77; X82; X85; X86; X87; X88; X93; X98; X100; X101; X102; X104; X105; X106; X107; X108; X109; X110; X113; X114; X115; X116; X117; X118; X119; X120; X124; X125; X126; ZombieDisplay,connector,Unassigned,,"",137,ea,,,14,,,
X2.1_X1.45,wire,Unassigned,,"",1,ea,20 AWG,YEBU,,,,"X2.1_X1.45"
J1.46_X2.2,wire,Unassigned,,"",1,ea,20 AWG,BNBU,,,,"J1.46_X2.2"
X2.5_X1.47,wire,Unassigned,,"",1,ea,20 AWG,WHBU,,,,"X2.5_X1.47"
J1.48_X2.3,wire,Unassigned,,"",1,ea,20 AWG,WHGN,,,,"J1.48_X2.3"
